generator,jitter,seed,k,loo_error,loo_indicator_rate,replace_vulnerability,near_zero_margin_mass,mean_abs_margin,diagnostic_f1
blobs,1e-08,3,11,0.008333333333333333,0.0,0.0,0.0,10.666666666666666,1.0
blobs,1e-08,4,1,0.1,0.1,1.0,1.0,1.0,1.0
blobs,1e-08,4,3,0.075,0.03333333333333333,0.16666666666666666,0.16666666666666666,2.6666666666666665,1.0
blobs,1e-08,4,5,0.08333333333333333,0.008333333333333333,0.06666666666666667,0.06666666666666667,4.366666666666666,1.0
blobs,1e-08,4,7,0.1,0.016666666666666666,0.058333333333333334,0.058333333333333334,5.883333333333334,1.0
blobs,1e-08,4,11,0.1,0.008333333333333333,0.05,0.05,9.0,1.0
blobs,1e-08,5,1,0.5166666666666667,0.5166666666666667,1.0,1.0,1.0,1.0
blobs,1e-08,5,3,0.4666666666666667,0.19166666666666668,0.7416666666666667,0.7416666666666667,1.5166666666666666,1.0
blobs,1e-08,5,5,0.4666666666666667,0.13333333333333333,0.5666666666666667,0.5666666666666667,1.95,1.0
blobs,1e-08,5,7,0.4666666666666667,0.11666666666666667,0.5166666666666667,0.5166666666666667,2.3666666666666667,1.0
blobs,1e-08,5,11,0.43333333333333335,0.075,0.36666666666666664,0.36666666666666664,3.3333333333333335,1.0
blobs,1e-08,6,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,1e-08,6,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,1e-08,6,5,0.0,0.0,0.0,0.0,4.983333333333333,1.0
blobs,1e-08,6,7,0.0,0.0,0.0,0.0,6.916666666666667,1.0
blobs,1e-08,6,11,0.0,0.0,0.0,0.0,10.733333333333333,1.0
blobs,1e-08,7,1,0.008333333333333333,0.008333333333333333,1.0,1.0,1.0,1.0
blobs,1e-08,7,3,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,2.9833333333333334,1.0
blobs,1e-08,7,5,0.0,0.0,0.008333333333333333,0.008333333333333333,4.966666666666667,1.0
blobs,1e-08,7,7,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,6.933333333333334,1.0
blobs,1e-08,7,11,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,10.9,1.0
blobs,1e-06,0,1,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,1.0
blobs,1e-06,0,3,0.075,0.03333333333333333,0.10833333333333334,0.10833333333333334,2.783333333333333,1.0
blobs,1e-06,0,5,0.08333333333333333,0.041666666666666664,0.1,0.1,4.45,1.0
blobs,1e-06,0,7,0.1,0.041666666666666664,0.10833333333333334,0.10833333333333334,5.933333333333334,1.0
blobs,1e-06,0,11,0.09166666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,9.233333333333333,1.0
blobs,1e-06,1,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,1e-06,1,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,1e-06,1,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,1e-06,1,7,0.0,0.0,0.0,0.0,7.0,1.0
blobs,1e-06,1,11,0.0,0.0,0.0,0.0,11.0,1.0
blobs,1e-06,2,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,1e-06,2,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,1e-06,2,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,1e-06,2,7,0.0,0.0,0.0,0.0,7.0,1.0
blobs,1e-06,2,11,0.0,0.0,0.0,0.0,10.95,1.0
blobs,1e-06,3,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,1e-06,3,3,0.008333333333333333,0.008333333333333333,0.03333333333333333,0.03333333333333333,2.933333333333333,1.0
blobs,1e-06,3,5,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,4.916666666666667,1.0
blobs,1e-06,3,7,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,6.85,1.0
blobs,1e-06,3,11,0.008333333333333333,0.0,0.0,0.0,10.666666666666666,1.0
blobs,1e-06,4,1,0.1,0.1,1.0,1.0,1.0,1.0
blobs,1e-06,4,3,0.075,0.03333333333333333,0.16666666666666666,0.16666666666666666,2.6666666666666665,1.0
blobs,1e-06,4,5,0.08333333333333333,0.008333333333333333,0.06666666666666667,0.06666666666666667,4.366666666666666,1.0
blobs,1e-06,4,7,0.1,0.016666666666666666,0.058333333333333334,0.058333333333333334,5.883333333333334,1.0
blobs,1e-06,4,11,0.1,0.008333333333333333,0.05,0.05,9.0,1.0
blobs,1e-06,5,1,0.5166666666666667,0.5166666666666667,1.0,1.0,1.0,1.0
blobs,1e-06,5,3,0.4666666666666667,0.19166666666666668,0.7416666666666667,0.7416666666666667,1.5166666666666666,1.0
blobs,1e-06,5,5,0.4666666666666667,0.13333333333333333,0.5666666666666667,0.5666666666666667,1.95,1.0
blobs,1e-06,5,7,0.4666666666666667,0.11666666666666667,0.5166666666666667,0.5166666666666667,2.3666666666666667,1.0
blobs,1e-06,5,11,0.43333333333333335,0.075,0.36666666666666664,0.36666666666666664,3.3333333333333335,1.0
blobs,1e-06,6,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,1e-06,6,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,1e-06,6,5,0.0,0.0,0.0,0.0,4.983333333333333,1.0
blobs,1e-06,6,7,0.0,0.0,0.0,0.0,6.916666666666667,1.0
blobs,1e-06,6,11,0.0,0.0,0.0,0.0,10.733333333333333,1.0
blobs,1e-06,7,1,0.008333333333333333,0.008333333333333333,1.0,1.0,1.0,1.0
blobs,1e-06,7,3,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,2.9833333333333334,1.0
blobs,1e-06,7,5,0.0,0.0,0.008333333333333333,0.008333333333333333,4.966666666666667,1.0
blobs,1e-06,7,7,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,6.933333333333334,1.0
blobs,1e-06,7,11,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,10.9,1.0
blobs,0.0001,0,1,0.06666666666666667,0.06666666666666667,1.0,1.0,1.0,1.0
blobs,0.0001,0,3,0.075,0.03333333333333333,0.10833333333333334,0.10833333333333334,2.783333333333333,1.0
blobs,0.0001,0,5,0.08333333333333333,0.041666666666666664,0.1,0.1,4.45,1.0
blobs,0.0001,0,7,0.1,0.041666666666666664,0.10833333333333334,0.10833333333333334,5.95,1.0
blobs,0.0001,0,11,0.09166666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,9.233333333333333,1.0
blobs,0.0001,1,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.0001,1,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,0.0001,1,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,0.0001,1,7,0.0,0.0,0.0,0.0,7.0,1.0
blobs,0.0001,1,11,0.0,0.0,0.0,0.0,11.0,1.0
blobs,0.0001,2,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.0001,2,3,0.0,0.0,0.0,0.0,3.0,1.0
blobs,0.0001,2,5,0.0,0.0,0.0,0.0,5.0,1.0
blobs,0.0001,2,7,0.0,0.0,0.0,0.0,7.0,1.0
blobs,0.0001,2,11,0.0,0.0,0.0,0.0,10.95,1.0
blobs,0.0001,3,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.0001,3,3,0.008333333333333333,0.008333333333333333,0.03333333333333333,0.03333333333333333,2.933333333333333,1.0
blobs,0.0001,3,5,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,4.916666666666667,1.0
blobs,0.0001,3,7,0.008333333333333333,0.0,0.008333333333333333,0.008333333333333333,6.85,1.0
blobs,0.0001,3,11,0.008333333333333333,0.0,0.0,0.0,10.666666666666666,1.0
blobs,0.0001,4,1,0.1,0.1,1.0,1.0,1.0,1.0
blobs,0.0001,4,3,0.075,0.03333333333333333,0.16666666666666666,0.16666666666666666,2.6666666666666665,1.0
blobs,0.0001,4,5,0.08333333333333333,0.008333333333333333,0.06666666666666667,0.06666666666666667,4.366666666666666,1.0
blobs,0.0001,4,7,0.1,0.016666666666666666,0.058333333333333334,0.058333333333333334,5.883333333333334,1.0
blobs,0.0001,4,11,0.1,0.008333333333333333,0.05,0.05,9.0,1.0
blobs,0.0001,5,1,0.5166666666666667,0.5166666666666667,1.0,1.0,1.0,1.0
blobs,0.0001,5,3,0.4666666666666667,0.19166666666666668,0.7416666666666667,0.7416666666666667,1.5166666666666666,1.0
blobs,0.0001,5,5,0.4666666666666667,0.13333333333333333,0.5666666666666667,0.5666666666666667,1.95,1.0
blobs,0.0001,5,7,0.4666666666666667,0.11666666666666667,0.5166666666666667,0.5166666666666667,2.3666666666666667,1.0
blobs,0.0001,5,11,0.43333333333333335,0.075,0.36666666666666664,0.36666666666666664,3.3333333333333335,1.0
blobs,0.0001,6,1,0.0,0.0,1.0,1.0,1.0,1.0
blobs,0.0001,6,3,0.0,0.0,0.0,0.0,3.0,1.0
